5 37.68 7.20 0.05 3.96 0.03 0.65
15 35.53 5.54 0.06 5.04 0.03 1.15
30 34.51 6.95 0.07 5.21 0.03 1.35
60 33.53 6.70 0.16 5.44 0.07 1.60
120 34.30 5.64 0.24 5.87 0.09 1.70
